"10552. СИЛА HK-1404 // замена блоков питания // C223010423, C223011174"," не работают блоки питания,"," не работают блоки питания,"
Ноутбук СИЛА HK-1404 не заряжается с type-c портов, не заряжается с type-c портов., laptops:
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223011355," визуально нет следов повреждения,", type-c
Ноутбук СИЛА HK1-1425/i5-1135G7/2*8G/m.2 256G/B3Y/ инв. № 525325/ С111080029, не рабочий hdmi,ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB48447 S/N: C223091505, вышла из строя матрица., аппаратная.
Перестал включаться, перестал включаться, перестал включаться
HK2-1404 // Не работает зарядное устройство // C223011313, не работает зарядное устройство, не работает зарядное устройство
СИЛА НК2-1404 // Отвалился разъем type c // C223012413, отвалился разъем type c, отвалился разъем type c
Заряд аккумулятора," отсутствие заряда аккумулятора,"," отсутствие заряда аккумулятора,"
"СИЛА CX-1015-12 // HDD fault //  s/n E213120001. Вышел из строя диск, пришедший на замену по гарантии.", hdd fault, hdd fault
Драйвера НК2-3404 на WIn10x64," звук попросту не идет,", внешних звуковых устройств.
Полосы и мерцание на мониторе, на ноутбуку, сила нк2-3404
глитч матрицы," появление черных полос на экране хаотичное выключение 
экрана,",глитч матрицы.
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532 S/N: C223090552, вышла из строя матрица., аппаратная.
Заявка на гарант,"
ноутбук c223094573","
ноутбук c223094573"
Неисправность диска Enclosure=6:Disk=32 dd202, disk state is failed._x000d_, data domain:_x000d_
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012685 C223012673 C223011958 C223011355 C223012788," визуально нет следов повреждения,", оба порта type-c
"Ноутбук СИЛА HK-1404 // замена блоков питания // C223012682, C223011343, C223011380"," не работают блоки питания,",ноутбук сила hk-1404
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120125/инв. № 525823,"
неисправно само устройство, необходим ремонт.","
неисправно само устройство,"
Проблема с серийным номером СИЛА," сохранится ли за ним гарантия,", сила hk2-1404
НК2-1404 // залит водой // C223011324," требуется диагностика, обслуживание и ремонт, по необходимости.", пользователь залил ноутбук
"HK2-3404 // артефакты, двоение изображения // C223090155", полосы на изображении(так же и в bios), bios)
СИЛА НК2-1404 v2 // Неисправность ноутбука // С223011148,"
в процессе работы регулярно появляется ""синий экран"",","
в процессе работы регулярно появляется ""синий экран"","
Проблема с клавиатурой ноутбука,"
перестала работать", сила нк2-1404_x000d_
Неисправность сервера СИЛА//46925,неисправность сервера сила//46925., сервер сила
Ошибки диска Enclosure=4:Disk=49 dd501, the disk state is failed._x000d_, evt-storage-00002:
Неисправность сервера СИЛА  // 46900, модуль управления перестал отвечать, сервер сила
Неисправность сервера // 46909, неисправность системы охлаждения, неисправность системы охлаждения
Ноутбук СИЛА HK1-1425/i5-1135G7/2*8G/m.2 256Gb/В3Y/C111110002/536337_ВЛN," не рабочая кнопка ""g""",ноутбук
Ошибка диска Enclosure=3:Disk=5 на datadomain, the disk state is failed._x000d_, datadomain_x000d_
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров // D251110023, не помогло.,сервер ср2-5422
HK2-1404 // Не работает зарядное устройство // C223010066, не работает зарядное устройство, c223010066.
"Ноутбук СИЛА HK-1404 // проблемы с включением, с usb-портом // C223012662", не подключается любые внешние устройства., не подключается любые внешние устройства.
Не загружается ноутбук Сила НК2-3204,"
после изменения в bios", legacy
Ноутбук СИЛА НК2-1404 // не устанавливается система // C223012840, не устанавливается система,ноутбук сила нк2-1404
Неисправность сервера СИЛА//60441,неисправность сервера сила//60441., сервер сила
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/В3Y/C111110043/525455, не рабочий hdmi,ноутбук
Ноутбук Сила HK2-1404\ Модернизация WiFi антенны //  C223010918, модернизация wifi антенны //  c223010918.,ноутбук сила hk2-1404\
Неисправность ноутбука СИЛА НК2-3404 - NTB48569, скорее всего неисправность аппаратная., аппаратная.
СИЛА НК2-1404 // Погнутость крышки // С223012632," обнаружили погнутость крышки,",сила нк2-1404
Ноутбук НК2-1404 \\ C223012010 \\ wi-fi," пропадает соединение и в устройствах не отображается,",ноутбук
Hа: Ноутбук Сила ООО Газпром бурение, полное обнуление ssd, ноутбук сила
СИЛА HK2  C223012606 C223012600 C223012675 C223011979 C223012790 абгрейд антенн, апгрейда антенн, абгрейд антенн.
Ноутбук не включается,ноутбук не включается.,ноутбук не включается.
Ноутбук СИЛА HK-1404 // Разбит экран // C223011480, отключается экран во врем работы.,ноутбук сила hk-1404
Перезагрузился сервер. После перезагрузки не включается., error1)., при перезагрузке ошибка повторяется.
Неисправность ноутбука Сила, вышла из строя матрица., аппаратная.
вопрос по ремонту,"
на первом не работает вентилятор,","
на первом не работает вентилятор,"
Сервер СР2-5422 // D251110008,"
сейчас на сервере наблюдаем ошибки.",сервер ср2-5422
открыть кейс по неисправному диску на dd:  dd203..ru  Enclosure=3:Disk=49, failed disks          1, a( 1-12)
Мерцает матрица ноутбука, при включении ноутбука сила hk2-1404, hk2-1404
HK2-1404 // Не работает зарядное устройство // C223101193, не работает зарядное устройство, не работает зарядное устройство
НК2-1404 // Проблемы с зарядными устройствами // C223012685 C223010230 C223010386,"
вышли из строя зарядные устройства.", c223012685 c223010230 c223010386
не работоспособность BMC, invalid username or password_x000d_," 4 шт,"
СИЛА HK2-1404// Не работает зарядное устройство// C223100876, перестало работать зарядное устройство., не работает зарядное устройство// c223100876.
Ноутбук СИЛА НК2-1404  // мерцание экрана // C223013328,"
мерцание монитора", ноутбука:
HK2-1404 // Не работает зарядное устройство // C223010034, не работает зарядное устройство, не работает зарядное устройство
СИЛА HK-1404 // Рябит экран // C223012603," рябит экран, видео в описании."," рябит экран,"
по неисправной плашке памяти на dd203 - Enclosure=1:DIMM=MR2 DIMM A0, a memory card has failed, critical   hardwarefailure
полосы на экране и отклеились ножки, специально поймать данную неисправность не удается., специально поймать данную неисправность не удается.
ноутбук НК2-1404 - не работает USB gjhn, не работает usb,ноутбук нк2-1404
HK2-1404 // Не работает зарядное устройство // C223011966, не работает зарядное устройство,hk2-1404 // не работает зарядное устройство
C223010721 не работает БП," c223010721 не работает бп,"," c223010721 не работает бп,"
не работоспособность BMC, invalid username or password_x000d_," 4 шт,"
C223010310 / шумит кулер / отклеились ножки, (треск), ноутбука
СИЛА НК2-1404 // Не включается // C223012410, не включается, трещат вентиляторы
Неисправность Ноутбук СИЛА НК2-3404 - NTB48577 S/N: C223090551, вышла из строя матрица., аппаратная.
Неисправность сервера СИЛА // 46917,неисправность сервера сила // 46917., сервер cp2 – 5422_x000d_
НК2-1404 // Не работает З.У. // C223101538," перрестало работать зарядное устройство,", не заряжает ноутбук.
10979. Ноутбук СИЛА НК2-1404 // не включается // C223012335, не включается // c223012335., ноутбук сила нк2-1404
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров // D251110031, нулевое значение оборотов системных кулеров,сервер ср2-5422
Не работает блок питания,не работает блок питания. не работает блок питания,не работает блок питания. не работает блок питания
СИЛА НК2-1404 // не работает LAN порт // С222090774, действует ли гарантия,"
ноутбук"
Неисправность сервера СИЛА // 46923,неисправность сервера сила // 46923., неисправность системы охлаждения сервера
HK2-1404 // шумит кулер + артефакты на экране ноутбука // C223010327, sn:c223010327., excel
Неисправность ноутбука Сила, вышла из строя матрица., аппаратная.
СИЛА НК2-1404//нет звука и видеосигнала // C222091964, нк2-1404//нет звука и видеосигнала, нк2-1404//нет звука и видеосигнала
НК2-1404 // Не работает Wi-FI (Кашира)// C223101179, не работает wifi,нк2-1404
Ноутбук Сила. Гарантийный ремонт, не включается, не включается
СИЛА НК2-1404  // Не работает зарядное устройство Type-C // C223010757, не работает зарядное устройство type-c,"
ноутбук от другого устройста заряжается корректно."
Просьба открыть заявку по неисправному диску:  dd401..ru - Disk 3.23 SN: ZC1BYZ1X, the disk state is failed., shsa
Драйвера для ноутбука СИЛА НК2-3404, win10 отказывается ставить даже половину драйверов., если у вас имеется пак драйверов для win 10
Сила НК2-1404 / перестало работать зарядное устройство для ноутбука/ C223100251,"
прошу заменить по гарантии","
прошу заменить по гарантии"
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/В3Y/С111110066/инв. № 525467, не рабочий первый  tipe-c, не рабочий первый  tipe-c
СИЛА HK2-1404 // Краш SSD  // C223012059, на ноутбуке крашится ssd., ноутбуке
HK2- 1404 // Не работает залипание клавиш  F G  H  отваливается кнопка Backspace //C223010731, не работает залипание клавиш  f g  h,hk2- 1404
гарантийный ремонт.Отпала клавиша, отпала клавиша «8»., ноутбук
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/C111110003/инв. 525698," не работает hdmi_x000d_
_x000d_"," не работает hdmi_x000d_
_x000d_"
ремонт ноутбука СИЛА НК2-1404, не работает порт usd и порт type-c,ремонт
СИЛА НК2-1404 // Сломался разъема Адаптера питания// С222090230, сломался разъем адаптера питания, ноутбука
нк2-1404 C223013824,"
повреждена", ноутбук сила
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223011958," визуально нет следов повреждения,", type-c
СИЛА НК2-3205 // Установка дополнительной планки памяти // C233041869, c233041869, sn: c233041869
Неисправность сервера СИЛА // 46919,неисправность сервера сила // 46919., неисправность системы охлаждения
сломался блок питания нотубка Сила НК2-1404 v2 SN:  C223101457," отвалился штекер,", ноутбука.
СИЛА НК2-1404//нет звука // C222091827, нк2-1404//нет звука, нк2-1404//нет звука // c222091827.
открыть кейс по неисправному диску на dd:  dd204.region..ru  Enclosure=2:Disk=12, failed disks          1, disk 2.12
"СИЛА НК2-1404 // Рябь, мерцание //C223014954","
рябь на ноутбуках/мерцание.","
рябь на ноутбуках/мерцание."
Неисправность сервера // 46906, неисправность системы охлаждения сервера., сервер cp2 – 5422
"ноутбук НК2-1404, sn-C222091591"," перестал определяться  nvme ssd-накопитель,"," nvme ssd-накопитель,"
Не работает дисплей,не работает дисплей., не работает дисплей ноутбука.
"СИЛА СХ2-4115-12; СИЛА CX2-4016-25; СИЛА СХ2-4066-36  //  обновить ПО до последней версии // E244030001, E244030002, E244030003", хотим обновить по до последней версии.," схд,"
Проблема с ноутбуком СИЛА HK2-1404, вышел из строя ssd, ssd
Проблема с изображением на дисплее,"
прошу забрать для диагностики.", отображением информации на дисплее.
Замена клавиатуры C223010701, согласована замена клавиатуры на ноутбуке  c223010701, в рамках гарантийных обязательств
+BB0EPgRDBEIEMQRDBDo- +BCEEGAQbBBA- +BB0EGg-2-1404 s/n C222090381 +BEEEOwQ+BDwEMA-+BDsEQQRP- +BBEEHw- (+BBIEPgQ7BDMEPgQzBEAEMA-+BDQ-), (отвалился разъём type-c), блок питания
СИЛА НК2-3404, были замечены артефакты._x000d_, c223091364_x000d_
Просьба открыть заявку по неисправному диску на dd203 - Enclosure=5:Disk=31, failed disks          1,"
2"
НК2-1404 v2 // Не работает зарядное устройство // C223100822, не работает зарядное устройство,нк2-1404 v2
"Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения.", включения., включения.
СИЛА НК2-1404 v2 // Неисправность ноутбука //  С223011138," в процессе работы регулярно появляется ""синий экран"","," в процессе работы регулярно появляется ""синий экран"","
IBS. СИЛА C111120016 хрипит левый динамик,"
обновление драйверов на звук не помогло.", ноутбуке
Мерцает экран,мерцает экран. сила hk2-3404 (c223090004),мерцает экран. сила hk2-3404
Сервер СР2-5422 // Ошибки на System Fan 2, появились ошибки по датчику system fan 2,сервер ср2-5422
"HK2-1404 // Не работает порт Type-C, не работает зарядное устройство // C223102038"," не работает порт type-c, не работает зарядное устройство", c223102038.
Ремонт, зарядка не идет (или идет не постоянно)., ноутбуком «сила» hk2-3404.
Ноутбук СИЛА HK-1404 // полосы на экране // C223011328, c223011328.,ноутбук сила hk-1404
Не включается дисплей,не включается дисплей. не включается дисплей,не включается дисплей. не включается дисплей
Ноутбук Сила не работает порт HDMI," ""плавающая"", не постоянная,", внешнего монитора
Гарантийный ремонт СИЛА C223012731, треске, sila hk2-1404
Гарантийный ремонт Т2, кулер цепляет и издает звук), нк2-1404
HK2- 1404 // Не работает звук на ноутбуке //C223011358,hk2- 1404,hk2- 1404
Ноутбук HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012702," визуально нет следов повреждения,", оба порта type-c
Гарантия,гарантия.,гарантия.
HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223010240," визуально нет следов повреждения,", type-c
вылетели 9 дисков и перезагрузилась резервная нода dd503, failed disks," пассивная нода,"
FW: Гарантийный случай, вышел из строя блок питания., сила нк2-1404 вышел из строя блок питания.
Ноутбук СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012673, неисправность зарядного устройства, неисправность зарядного устройства
HK2-1404 // Проблема с матрицей и портом type-c // C223012100," если нет, то помогает перезагрузка.",hk2-1404
"Аварийная перезагрузка сервера,  UMA operation error","
intel me has encountered uma operation error.", продуктивном контуре
Не работает зарядка Type-C СИЛА НК2-1404 // C223101296, не работает, не работает зарядное устройство
Ноутбук Сила HK2-3404 (SN: C223091736),"
не включается.","
из коробки"
СХД CX4-1127-00 // Неисправный диск // CKM00194301861, the disk state is failed.,схд cx4-1127-00
Ноутбук Сила НК2-3404, драйвера для корпоративной win 10 версия 22h2._x000d_, ноутбуки сила нк2-3404
Ноутбук СИЛА НК2-3404// рябь экрана // c223091025, рябь экрана // c223091025., сила модель нк2-3404 s/n c223091025
НК2-1404 // Не работает Wi-FI (Кашира)// C223101219, не работает wi-fi (кашира)//,нк2-1404
Не работает блок питания (зарядка),не работает блок питания (зарядка)., не работает блок питания (зарядка)
Ноутбук НК2-1404 //Не работает клавиша F1 или срабатывает с задержкой//С223010731,"
после ремонта ноутбука перестала срабатывать кнопка f1",ноутбук нк2-1404
Отказ блока питания,отказ блока питания., нк2-1404
Обновление BIOS и BMC Cube, прошу предоставить для скачивания._x000d_, сила?
